Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3YeJXuRSNS5FYwOsDu44kD,Dark Knight Dummo (Feat. Travis Scott),Dark Knight Dummo (Feat. Travis Scott),Trippie Redd;Travis Scott,2017-12-05,256162.0,4.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,"melodic rap,rap","Elliot Grainge Entertainment, LLC",0.28,0.821,8.0,-2.864,0.0,0.111,0.167,0.0,0.139,0.254,181.444,3.0
spotify:track:1bDbXMyjaUIooNwFE9wn0N,Rich Flex,Her Loss,Drake;21 Savage,2022-11-04,239359.0,77.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,OVO / Republic Records,0.549,0.518,4.0,-9.39,0.0,0.257,0.0517,1.21e-06,0.378,0.418,160.07,4.0
spotify:track:3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake;21 Savage,2022-06-17,218364.0,83.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,OVO,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4.0
spotify:track:4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake;GIVĒON,2020-05-01,220487.0,80.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,"rap,r&b",OVO,0.735,0.449,10.0,-7.507,1.0,0.347,0.629,0.0,0.113,0.0397,122.947,4.0
spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future;Drake,2020-01-10,237735.0,74.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,Epic/Freebandz,0.676,0.609,2.0,-5.831,0.0,0.481,0.0706,0.0,0.152,0.508,142.037,4.0
spotify:track:6DCZcSspjsKoFjzjrWoCdn,God's Plan,Scorpion,Drake,2018-06-29,198973.0,87.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,Cash Money/Drake LP6,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,4.0
spotify:track:0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,Views,Drake,2016-05-06,267066.0,85.0,False,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,Cash Money Records/Young Money Ent./Universal Rec.,0.891,0.628,2.0,-7.863,1.0,0.0551,0.00258,0.00019,0.0504,0.552,134.966,4.0
spotify:track:2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820.0,85.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,Cactus Jack / Epic,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,4.0
spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,ASTROWORLD,Travis Scott,2018-08-03,190557.0,83.0,False,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,Cactus Jack / Epic,0.763,0.628,11.0,-5.85,1.0,0.05,0.0531,0.0,0.114,0.193,140.958,4.0
spotify:track:3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720.0,85.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,Cactus Jack/Epic,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4.0
spotify:track:39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,THE SCOTTS,THE SCOTTS;Travis Scott;Kid Cudi,2020-04-24,165977.0,72.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,Cactus Jack / Epic,0.716,0.537,0.0,-7.648,0.0,0.0514,0.233,0.0,0.157,0.28,129.979,4.0
spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),Dying to Live,Kodak Black;Offset;Travis Scott,2018-12-14,228759.0,82.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,Atlantic Records,0.861,0.603,8.0,-5.788,0.0,0.176,0.0521,0.0,0.0924,0.504,98.043,4.0
spotify:track:0uxSUdBrJy9Un0EYoBowng,20 Min,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,2017-11-17,220586.0,86.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,"melodic rap,rage rap",Generation Now/Atlantic,0.773,0.75,8.0,-4.009,0.0,0.117,0.109,0.0,0.174,0.783,123.426,4.0
spotify:track:7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,182706.0,83.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,"melodic rap,rage rap",Generation Now/Atlantic,0.732,0.75,11.0,-6.366,0.0,0.231,0.00264,0.0,0.109,0.401,155.096,4.0
spotify:track:2eAZfqOm4EnOF9VvN50Tyc,The Way Life Goes (feat. Oh Wonder),Luv Is Rage 2,Lil Uzi Vert;Oh Wonder,2017-08-25,221746.0,81.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,"melodic rap,rage rap",Generation Now/Atlantic,0.703,0.757,1.0,-3.612,1.0,0.05,0.617,0.0,0.106,0.696,82.008,4.0
spotify:track:0B8QzDH7YWih85V5SEMnyJ,Money Longer,Lil Uzi Vert vs. The World,Lil Uzi Vert,2016-05-27,198944.0,78.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,"melodic rap,rage rap",Generation Now/Atlantic,0.795,0.568,5.0,-7.817,0.0,0.142,0.0541,0.0,0.108,0.478,136.173,4.0
spotify:track:4uhvMW7ly7tJil31YYscAN,Erase Your Social,The Perfect LUV Tape,Lil Uzi Vert,2016-08-10,199993.0,77.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,"melodic rap,rage rap",Generation Now/Atlantic,0.705,0.609,3.0,-5.728,1.0,0.0729,0.694,0.0,0.234,0.718,140.058,4.0
spotify:track:3XiNC94b4Tq1xwv70sQJGN,Sanguine Paradise,Sanguine Paradise,Lil Uzi Vert,2019-04-09,243976.0,75.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,"melodic rap,rage rap",Generation Now/Atlantic,0.729,0.603,6.0,-6.736,0.0,0.0666,0.0948,0.0,0.113,0.207,134.972,4.0
spotify:track:60PTOzcoFycWBICdumIsFQ,FOR FUN,RED & WHITE,Lil Uzi Vert,2022-07-23,188059.0,69.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,"melodic rap,rage rap",Generation Now/Atlantic,0.775,0.461,7.0,-6.594,0.0,0.124,0.157,0.0,0.0687,0.131,134.028,4.0
spotify:track:0VgkVdmE4gld66l8iyGjgx,Mask Off,FUTURE,Future,2017-06-30,204600.0,84.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,Epic/Freebandz/A1,0.833,0.434,2.0,-8.795,1.0,0.431,0.0102,0.0219,0.165,0.281,150.062,4.0
spotify:track:1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,I NEVER LIKED YOU,Future,2022-04-29,172933.0,77.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,rap,Epic/Freebandz,0.883,0.657,8.0,-5.748,1.0,0.305,0.0603,0.0,0.128,0.284,124.992,4.0
spotify:track:7iHHxY2NLlJRAmlAmC4ahQ,Stuck In A Dream (feat. Gunna),Certified Hitmaker,Lil Mosey;Gunna,2019-11-08,123560.0,66.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,melodic rap,Mogul Vision/Interscope Records,0.748,0.648,10.0,-6.445,0.0,0.0816,0.484,0.0,0.126,0.726,139.952,4.0
spotify:track:5ii50m5FrMDcUOg0EwrI15,GIRLS NEED LUV,GIRLS NEED LUV,7latenights;Flyy Armani,2025-07-14,123551.0,50.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,"dark r&b,sexy drill",VIZIER Records,0.614,0.509,5.0,-12.953,0.0,0.137,0.528,0.0,0.301,0.636,126.875,4.0
spotify:track:7zLYKWcXnYeHHWidalz7rj,Noticed,Northsbest (Extended),Lil Mosey,2018-10-19,165000.0,74.0,True,9awd53s3nymgaya2yc2uivk4m,2026-06-01T18:39:09Z,melodic rap,Mogul Vision/Interscope Records,0.699,0.558,11.0,-7.622,1.0,0.0603,0.462,0.0,0.116,0.493,79.992,4.0
